2025-04-07 11:44:45,127.0.0.1,http://localhost:5000/chart_data_ulasan_pertahun,http://localhost:5000/filter_ulasan,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36 Edg/135.0.0.0"
2025-04-07 11:44:45,127.0.0.1,http://localhost:5000/chart_data_rating_pertahun,http://localhost:5000/filter_ulasan,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36 Edg/135.0.0.0"
2025-04-07 11:44:45,127.0.0.1,http://localhost:5000/chart_data_topik_ulasan_pertahun,http://localhost:5000/filter_ulasan,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36 Edg/135.0.0.0"
2025-04-07 11:44:45,127.0.0.1,http://localhost:5000/chart_data_sentimen_ulasan_pertahun,http://localhost:5000/filter_ulasan,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36 Edg/135.0.0.0"
2025-04-07 11:44:57,127.0.0.1,http://localhost:5000/ulasan_lengkap,http://localhost:5000/filter_ulasan,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36 Edg/135.0.0.0"
2025-04-07 11:44:59,127.0.0.1,http://localhost:5000/chart_sentimen_ulasan_filter?thn=2025&topik=fasilitas&sentimen=semua,http://localhost:5000/ulasan_lengkap,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36 Edg/135.0.0.0"
2025-04-07 11:44:59,127.0.0.1,http://localhost:5000/chart_topik_ulasan_filter?thn=2025&topik=fasilitas&sentimen=semua,http://localhost:5000/ulasan_lengkap,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36 Edg/135.0.0.0"
2025-04-07 11:46:30,127.0.0.1,http://localhost:5000/ulasan_lengkap,http://localhost:5000/ulasan_lengkap,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36 Edg/135.0.0.0"
2025-04-07 11:46:32,127.0.0.1,http://localhost:5000/chart_sentimen_ulasan_filter?thn=2025&topik=semua&sentimen=semua,http://localhost:5000/ulasan_lengkap,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36 Edg/135.0.0.0"
2025-04-07 11:46:32,127.0.0.1,http://localhost:5000/chart_topik_ulasan_filter?thn=2025&topik=semua&sentimen=semua,http://localhost:5000/ulasan_lengkap,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36 Edg/135.0.0.0"
2025-04-07 11:46:39,127.0.0.1,http://localhost:5000/overview,http://localhost:5000/ulasan_lengkap,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36 Edg/135.0.0.0"
2025-04-07 11:46:41,127.0.0.1,http://localhost:5000/chart_total_rating,http://localhost:5000/overview,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36 Edg/135.0.0.0"
2025-04-07 11:46:41,127.0.0.1,http://localhost:5000/chart_reviewer,http://localhost:5000/overview,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36 Edg/135.0.0.0"
2025-04-07 11:46:41,127.0.0.1,http://localhost:5000/chart_data_ulasan_pertahun,http://localhost:5000/overview,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36 Edg/135.0.0.0"
2025-04-07 11:46:42,127.0.0.1,http://localhost:5000/chart_data_rating_pertahun,http://localhost:5000/overview,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36 Edg/135.0.0.0"
2025-04-07 11:46:42,127.0.0.1,http://localhost:5000/chart_sumber_pengaduan,http://localhost:5000/overview,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36 Edg/135.0.0.0"
